sample_num,dna_sample,dna_id,soil_let,soil_stress,soil_type,microbe_type,nickel,drought,tray,pds,date.collected,date.dna,pds.8.22.2018,height.8.22.2018,leaf.num.8.22.2018,date.8.22.2018,pds.8.29.2018,height.8.29.2018,leaf.num.8.29.2018,date.8.29.2018,pds.10.22.2018,height.10.22.2018,leaf.numpds.10.22.2018,date.10.22.2018,pds.9.3.2018,height.9.3.2018,leaf.num.9.3.2018,date.9.3.2018,pds.9.10.2018,height.9.10.2018,leaf.num.9.10.2018,date.9.10.2018,pds.9.24.2018,height.9.24.2018,leaf.num.9.24.2018,date.9.24.2018,pds.9.17.2018,height.9.17.2018,leaf.num.9.17.2018,date.9.17.2018,pds.10.1.2018,height.10.1.2018,leaf.num.10.1.2018,date.10.1.2018,pds.10.8.2018,height.10.8.2018,leaf.num.10.8.2018,date.10.8.2018,pds.10.15.2018,height.10.15.2018,leaf.num.10.15.2018,date.10.15.2018,pds.11.12.2018,height.11.12.2018,leaf.num.11.12.2018,date.11.12.2018,pds.11.19.2018,height.11.19.2018,leaf.num.11.19.2018,date.11.19.2018,pds.11.26.2018,height.11.26.2018,leaf.num.11.26.2018,date.11.26.2018,sample_num_let,Analysis Date Time,ImageFileName,ImageAcqDeviceAndSoftwareInfo DateTimeModified,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom NExclusions,DevOrder Criteria,ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile],PxClassif,Filters,Fractal PxMin PxMax,SoilVol(m3),Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),LenPerVol(cm/m3),RootVolume(cm3),FractalDimension,FractalDeviation,Tips,Forks,Crossings,NofNodules,NumberOfClasses,ClassBoundaries,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000
60,150A60,150,A,S,serpentine,serpentine,no,no,8,1,12/1/18,7/27/19,1,2,4,8/22/18,1,2.5,5,8/29/18,.,.,.,10/22/18,1,2.5,6,9/3/18,1,3,4,9/10/18,.,.,.,9/24/18,2,2,2,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,,,,11/19/18,1,3.166666667,,11/26/18,60A,4/10/19 14:47,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 11000XL 1.8 V3.49 3.49,34.133,5.0627,6.742,336 2478 1131 3540 0,MAG ANG DIAM LEN,Grey Intr cm 0.006368 0.006348 Scanner.Cal,GreyThdAutom-179,Smooth Off Area Off LWRatio Off,Off,1,17.8476,0.5809,1.825,0.2565,66.669,0.034,0,0,177,203,69,0,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,64.1162,2.3684,0.1879,0,0,0,0,0,0,0,4.102,0.4341,0.0708,0,0,0,0,0,0,0,1.3057,0.1382,0.0225,0,0,0,0,0,0,0,0.0253,0.0065,0.0021,0,0,0,0,0,0,0,175,1,1,0,0,0,0,0,0,0
34,129A34,129,A,S,serpentine,serpentine,no,no,7,3,10/21/18,5/1/19,1,2,4,8/22/18,1,2.5,6,8/29/18,.,.,.,10/22/18,1,3,6,9/3/18,2,2,8,9/10/18,2,2.5,10,9/24/18,2,2.5,10,9/17/18,2,2.5,11,10/1/18,2,2,11,10/8/18,2,2,12,10/15/18,,,,11/12/18,,,,11/19/18,,,,11/26/18,34A,10/10/19 11:25,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 11000XL 1.8 V3.49 3.49,21.1445,3.9814,5.8865,1314 1191 1941 21183,MAG ANG DIAM LEN,Grey Intr cm 0.006350 0.006350,GreyThdAutom-164,Smooth Off Area Off LWRatio Off,Off,1,27.9828,0.8401,2.6391,0.3737,448.0751,0.492,0,0,519,3615,881,0,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,375.2287,44.92,13.579,6.914,4.0012,1.5754,1.1602,0.2749,0.219,0.1202,21.6949,9.7377,5.1649,3.744,2.8605,1.322,1.1581,0.3326,0.2876,0.1762,6.9057,3.0996,1.644,1.1917,0.9105,0.4208,0.3686,0.1059,0.0916,0.0561,0.1279,0.1757,0.1582,0.1625,0.1636,0.0884,0.0922,0.0321,0.0301,0.0206,515,4,0,0,0,0,0,0,0,0
91,100A91,100,A,S,serpentine,serpentine,no,no,6,2,9/11/18,4/9/19,1,2,4,8/22/18,1,2,6,8/29/18,.,.,.,10/22/18,1,2,6,9/3/18,2,2.5,9,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,,,,11/19/18,,,,11/26/18,91A,10/22/19 12:01,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 11000XL 1.8 V3.49 3.49,19.3006,2.7432,8.4963,1218 1485 1650 28231,MAG ANG DIAM LEN,Grey Intr cm 0.006350 0.006350,GreyThdAutom-170,Smooth Off Area Off LWRatio Off,Off,1,19.7155,0.7169,2.2523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,95A41,95,A,S,serpentine,serpentine,no,no,6,4,11/17/18,4/8/19,1,2.5,4,8/22/18,1,3,4,8/29/18,2,2.5,13,10/22/18,1,3,6,9/3/18,2,2,8,9/10/18,2,2.5,8,9/24/18,2,3,7,9/17/18,2,2,8,10/1/18,2,2.5,10,10/8/18,2,2.5,7,10/15/18,4,3,9,11/12/18,,,,11/19/18,,,,11/26/18,41A,4/10/19 15:30,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 11000XL 1.8 V3.49 3.49,9.856,2.4645,4.209,636 2661 1023 3324 3,MAG ANG DIAM LEN,Grey Intr cm 0.006368 0.006348 Scanner.Cal,GreyThdAutom-168,Smooth Off Area Off LWRatio Off,Off,1,5.8868,0.2447,0.7688,0.2151,38.5345,0.014,0,0,33,84,30,0,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,37.8434,0.6911,0,0,0,0,0,0,0,0,2.1032,0.1304,0,0,0,0,0,0,0,0,0.6695,0.0415,0,0,0,0,0,0,0,0,0.0115,0.002,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
39,72A39,72,A,S,serpentine,serpentine,no,no,5,3,10/21/18,3/20/19,1,2.5,4,8/22/18,1,2,5,8/29/18,.,.,.,10/22/18,1,3,4,9/3/18,2,3.5,6,9/10/18,1,2,5,9/24/18,2,3,6,9/17/18,2,2.5,6,10/1/18,2,2,5,10/8/18,3,2,4,10/15/18,,,,11/12/18,,,,11/19/18,,,,11/26/18,39A,10/10/19 11:34,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 11000XL 1.8 V3.49 3.49,17.0082,3.3909,8.0581,1494 1293 2028 25627,MAG ANG DIAM LEN,Grey Intr cm 0.006350 0.006350,GreyThdAutom-165,Smooth Off Area Off LWRatio Off,Off,1,18.409,0.7091,2.2278,0.2728,165.3992,0.097,0,0,213,380,82,0,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,161.3747,3.0236,0.5801,0.2388,0.1819,0,0,0,0,0,11.0145,0.6449,0.2089,0.129,0.1338,0,0,0,0,0,3.506,0.2053,0.0665,0.0411,0.0426,0,0,0,0,0,0.0654,0.0114,0.006,0.0056,0.0078,0,0,0,0,0,212,1,0,0,0,0,0,0,0,0
62,60A62,60,A,S,serpentine,serpentine,no,no,1,5,12/15/18,3/11/19,1,2.5,4,8/22/18,1,2,4,8/29/18,3,2.5,6,10/22/18,2,3,4,9/3/18,2,3,6,9/10/18,2,2.5,5,9/24/18,2,3,7,9/17/18,2,2.5,8,10/1/18,2,2.5,10,10/8/18,2,3,9,10/15/18,4,3,8,11/12/18,3,3,9,11/19/18,,,,11/26/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,59A85,59,A,S,serpentine,serpentine,no,no,7,5,12/15/18,3/11/19,1,2.5,4,8/22/18,1,3,4,8/29/18,2,1.5,12,10/22/18,1,3,5,9/3/18,2,3,5,9/10/18,2,3,6,9/24/18,2,3,6,9/17/18,2,2,8,10/1/18,2,2.5,10,10/8/18,2,2,9,10/15/18,2,4,6,11/12/18,3,4,6,11/19/18,,,,11/26/18,85A,11/12/19 9:47,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 11000XL 1.8 V3.49 3.49,65.8063,5.1816,12.7,972 1140 1788 3140 0,MAG ANG DIAM LEN,Grey Intr cm 0.006350 0.006350,GreyThdAutom-178,Smooth Off Area Off LWRatio Off,Off,1,53.6042,1.323,4.1564,0.3149,23.268,0.018,0,0,21,31,2,0,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,21.9372,1.2028,0.119,0.009,0,0,0,0,0,0,1.8055,0.2311,0.0474,0.0043,0,0,0,0,0,0,0.5747,0.0735,0.0151,0.0014,0,0,0,0,0,0,0.0136,0.0037,0.0015,0.0002,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0
12,166A12,166,A,S,serpentine,serpentine,no,no,2,6,12/15/18,8/3/19,1,2.5,4,8/22/18,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,,,,11/19/18,,,,11/26/18,,,,,,,,,,,,,,,,,,0.325,35.1542,0.029,0,0,32,49,6,0,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,32.9507,1.914,0.2403,0.0497,0,0,0,0,0,0,2.7391,0.3763,0.0916,0.0246,0,0,0,0,0,0,0.8719,0.1198,0.0292,0.0078,0,0,0,0,0,0,0.0199,0.0062,0.0028,0.001,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0,0
7,148A7,148,A,S,serpentine,serpentine,no,no,9,1,12/1/18,7/27/19,1,2.5,4,8/22/18,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,,,,11/19/18,1,3.666666667,,11/26/18,7A,4/10/19 15:56,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 11000XL 1.8 V3.49 3.49,22.7018,3.7827,6.4373,492 2271 1086 3285 11,MAG ANG DIAM LEN,Grey Intr cm 0.006368 0.006348 Scanner.Cal,GreyThdAutom-177,Smooth Off Area Off LWRatio Off,Off,1,19.8038,0.6089,1.9128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,144A67,144,A,S,serpentine,serpentine,no,no,1,2,9/11/18,5/15/19,1,2.5,5,8/22/18,1,2,6,8/29/18,.,.,.,10/22/18,1,2,5,9/3/18,2,3,8,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,,,,11/19/18,,,,11/26/18,67A,10/22/19 11:07,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 11000XL 1.8 V3.49 3.49,22.5295,3.048,9.4996,1456 1236 1936 27322,MAG ANG DIAM LEN,Grey Intr cm 0.006350 0.006350,GreyThdAutom-169,Smooth Off Area Off LWRatio Off,Off,1,19.1997,0.6945,2.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,138A18,138,A,S,serpentine,serpentine,no,no,4,3,10/21/18,5/6/19,1,2.5,4,8/22/18,2,3,4,8/29/18,.,.,.,10/22/18,1,2.5,5,9/3/18,2,3,6,9/10/18,2,2.5,8,9/24/18,2,3,7,9/17/18,2,2,10,10/1/18,2,2,12,10/8/18,3,2.5,12,10/15/18,,,,11/12/18,,,,11/19/18,,,,11/26/18,18A,10/22/19 11:31,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 11000XL 1.8 V3.49 3.49,19.7427,4.1148,9.6774,1172 1164 1820 26886,MAG ANG DIAM LEN,Grey Intr cm 0.006350 0.006350,GreyThdAutom-166,Smooth Off Area Off LWRatio Off,Off,1,43.7666,1.7012,5.3444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
