sample_num,soil_let,soil_stress,soil_type,microbe_type,nickel,drought,tray,pds,height,leaf.num,date,sample_num_let,winrhizo_date,root_length,proj_area,root_surfacearea,root_diameter,root_length_per_volume,root_volume,wet.biomass.above,dry.biomass.above,moisture.above
5,A,S,serpentine,serpentine,no,no,1,.,.,.,8/29/18,.,.,.,.,.,.,.,.,.,.,.
5,A,S,serpentine,serpentine,no,no,1,.,.,.,9/3/18,.,.,.,.,.,.,.,.,.,.,.
5,A,S,serpentine,serpentine,no,no,1,.,.,.,9/10/18,.,.,.,.,.,.,.,.,.,.,.
5,A,S,serpentine,serpentine,no,no,1,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
5,A,S,serpentine,serpentine,no,no,1,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
5,A,S,serpentine,serpentine,no,no,1,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
5,A,S,serpentine,serpentine,no,no,1,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
5,A,S,serpentine,serpentine,no,no,1,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
5,A,S,serpentine,serpentine,no,no,1,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
5,A,S,serpentine,serpentine,no,no,1,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
5,A,S,serpentine,serpentine,no,no,1,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
5,A,S,serpentine,serpentine,no,no,1,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
6,A,S,serpentine,serpentine,no,no,8,.,.,.,8/29/18,.,.,.,.,.,.,.,.,.,.,.
6,A,S,serpentine,serpentine,no,no,8,.,.,.,9/3/18,.,.,.,.,.,.,.,.,.,.,.
6,A,S,serpentine,serpentine,no,no,8,.,.,.,9/10/18,.,.,.,.,.,.,.,.,.,.,.
6,A,S,serpentine,serpentine,no,no,8,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
6,A,S,serpentine,serpentine,no,no,8,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
6,A,S,serpentine,serpentine,no,no,8,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
6,A,S,serpentine,serpentine,no,no,8,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
6,A,S,serpentine,serpentine,no,no,8,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
6,A,S,serpentine,serpentine,no,no,8,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
6,A,S,serpentine,serpentine,no,no,8,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
6,A,S,serpentine,serpentine,no,no,8,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
6,A,S,serpentine,serpentine,no,no,8,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
7,A,S,serpentine,serpentine,no,no,9,.,.,.,8/29/18,.,.,.,.,.,.,.,.,.,.,.
7,A,S,serpentine,serpentine,no,no,9,.,.,.,9/3/18,.,.,.,.,.,.,.,.,.,.,.
7,A,S,serpentine,serpentine,no,no,9,.,.,.,9/10/18,.,.,.,.,.,.,.,.,.,.,.
7,A,S,serpentine,serpentine,no,no,9,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
7,A,S,serpentine,serpentine,no,no,9,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
7,A,S,serpentine,serpentine,no,no,9,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
7,A,S,serpentine,serpentine,no,no,9,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
7,A,S,serpentine,serpentine,no,no,9,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
7,A,S,serpentine,serpentine,no,no,9,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
7,A,S,serpentine,serpentine,no,no,9,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
7,A,S,serpentine,serpentine,no,no,9,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
7,A,S,serpentine,serpentine,no,no,9,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
8,A,S,serpentine,serpentine,no,no,4,.,.,.,8/29/18,.,.,.,.,.,.,.,.,.,.,.
8,A,S,serpentine,serpentine,no,no,4,.,.,.,9/3/18,.,.,.,.,.,.,.,.,.,.,.
8,A,S,serpentine,serpentine,no,no,4,.,.,.,9/10/18,.,.,.,.,.,.,.,.,.,.,.
8,A,S,serpentine,serpentine,no,no,4,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
8,A,S,serpentine,serpentine,no,no,4,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
8,A,S,serpentine,serpentine,no,no,4,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
8,A,S,serpentine,serpentine,no,no,4,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
8,A,S,serpentine,serpentine,no,no,4,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
8,A,S,serpentine,serpentine,no,no,4,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
8,A,S,serpentine,serpentine,no,no,4,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
8,A,S,serpentine,serpentine,no,no,4,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
8,A,S,serpentine,serpentine,no,no,4,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
9,A,S,serpentine,serpentine,no,no,7,.,.,.,8/29/18,.,.,.,.,.,.,.,.,.,.,.
9,A,S,serpentine,serpentine,no,no,7,.,.,.,9/3/18,.,.,.,.,.,.,.,.,.,.,.
9,A,S,serpentine,serpentine,no,no,7,.,.,.,9/10/18,.,.,.,.,.,.,.,.,.,.,.
9,A,S,serpentine,serpentine,no,no,7,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
9,A,S,serpentine,serpentine,no,no,7,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
9,A,S,serpentine,serpentine,no,no,7,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
9,A,S,serpentine,serpentine,no,no,7,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
9,A,S,serpentine,serpentine,no,no,7,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
9,A,S,serpentine,serpentine,no,no,7,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
9,A,S,serpentine,serpentine,no,no,7,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
9,A,S,serpentine,serpentine,no,no,7,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
9,A,S,serpentine,serpentine,no,no,7,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
10,A,S,serpentine,serpentine,no,no,6,.,.,.,8/29/18,.,.,.,.,.,.,.,.,.,.,.
10,A,S,serpentine,serpentine,no,no,6,.,.,.,9/3/18,.,.,.,.,.,.,.,.,.,.,.
10,A,S,serpentine,serpentine,no,no,6,.,.,.,9/10/18,.,.,.,.,.,.,.,.,.,.,.
10,A,S,serpentine,serpentine,no,no,6,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
10,A,S,serpentine,serpentine,no,no,6,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
10,A,S,serpentine,serpentine,no,no,6,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
10,A,S,serpentine,serpentine,no,no,6,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
10,A,S,serpentine,serpentine,no,no,6,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
10,A,S,serpentine,serpentine,no,no,6,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
10,A,S,serpentine,serpentine,no,no,6,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
10,A,S,serpentine,serpentine,no,no,6,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
10,A,S,serpentine,serpentine,no,no,6,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
11,A,S,serpentine,serpentine,no,no,6,.,.,.,8/29/18,.,.,.,.,.,.,.,.,.,.,.
11,A,S,serpentine,serpentine,no,no,6,.,.,.,9/3/18,.,.,.,.,.,.,.,.,.,.,.
11,A,S,serpentine,serpentine,no,no,6,.,.,.,9/10/18,.,.,.,.,.,.,.,.,.,.,.
11,A,S,serpentine,serpentine,no,no,6,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
11,A,S,serpentine,serpentine,no,no,6,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
11,A,S,serpentine,serpentine,no,no,6,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
11,A,S,serpentine,serpentine,no,no,6,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
11,A,S,serpentine,serpentine,no,no,6,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
11,A,S,serpentine,serpentine,no,no,6,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
11,A,S,serpentine,serpentine,no,no,6,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
11,A,S,serpentine,serpentine,no,no,6,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
11,A,S,serpentine,serpentine,no,no,6,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
12,A,S,serpentine,serpentine,no,no,2,.,.,.,8/29/18,.,.,.,.,.,.,.,.,.,.,.
12,A,S,serpentine,serpentine,no,no,2,.,.,.,9/3/18,.,.,.,.,.,.,.,.,.,.,.
12,A,S,serpentine,serpentine,no,no,2,.,.,.,9/10/18,.,.,.,.,.,.,.,.,.,.,.
12,A,S,serpentine,serpentine,no,no,2,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
12,A,S,serpentine,serpentine,no,no,2,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
12,A,S,serpentine,serpentine,no,no,2,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
12,A,S,serpentine,serpentine,no,no,2,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
12,A,S,serpentine,serpentine,no,no,2,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
12,A,S,serpentine,serpentine,no,no,2,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
12,A,S,serpentine,serpentine,no,no,2,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
12,A,S,serpentine,serpentine,no,no,2,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
12,A,S,serpentine,serpentine,no,no,2,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
13,A,S,serpentine,serpentine,no,no,5,.,.,.,8/29/18,.,.,.,.,.,.,.,.,.,.,.
13,A,S,serpentine,serpentine,no,no,5,.,.,.,9/3/18,.,.,.,.,.,.,.,.,.,.,.
13,A,S,serpentine,serpentine,no,no,5,.,.,.,9/10/18,.,.,.,.,.,.,.,.,.,.,.
13,A,S,serpentine,serpentine,no,no,5,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
13,A,S,serpentine,serpentine,no,no,5,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
13,A,S,serpentine,serpentine,no,no,5,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
13,A,S,serpentine,serpentine,no,no,5,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
13,A,S,serpentine,serpentine,no,no,5,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
13,A,S,serpentine,serpentine,no,no,5,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
13,A,S,serpentine,serpentine,no,no,5,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
13,A,S,serpentine,serpentine,no,no,5,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
13,A,S,serpentine,serpentine,no,no,5,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
14,A,S,serpentine,serpentine,no,no,6,.,.,.,8/29/18,.,.,.,.,.,.,.,.,.,.,.
14,A,S,serpentine,serpentine,no,no,6,.,.,.,9/3/18,.,.,.,.,.,.,.,.,.,.,.
14,A,S,serpentine,serpentine,no,no,6,.,.,.,9/10/18,.,.,.,.,.,.,.,.,.,.,.
14,A,S,serpentine,serpentine,no,no,6,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
14,A,S,serpentine,serpentine,no,no,6,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
14,A,S,serpentine,serpentine,no,no,6,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
14,A,S,serpentine,serpentine,no,no,6,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
14,A,S,serpentine,serpentine,no,no,6,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
14,A,S,serpentine,serpentine,no,no,6,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
14,A,S,serpentine,serpentine,no,no,6,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
14,A,S,serpentine,serpentine,no,no,6,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
14,A,S,serpentine,serpentine,no,no,6,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
15,A,S,serpentine,serpentine,no,no,2,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
15,A,S,serpentine,serpentine,no,no,2,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
15,A,S,serpentine,serpentine,no,no,2,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
15,A,S,serpentine,serpentine,no,no,2,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
15,A,S,serpentine,serpentine,no,no,2,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
15,A,S,serpentine,serpentine,no,no,2,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
15,A,S,serpentine,serpentine,no,no,2,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
15,A,S,serpentine,serpentine,no,no,2,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
15,A,S,serpentine,serpentine,no,no,2,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
16,A,S,serpentine,serpentine,no,no,5,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
16,A,S,serpentine,serpentine,no,no,5,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
17,A,S,serpentine,serpentine,no,no,3,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
17,A,S,serpentine,serpentine,no,no,3,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
18,A,S,serpentine,serpentine,no,no,4,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
18,A,S,serpentine,serpentine,no,no,4,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
18,A,S,serpentine,serpentine,no,no,4,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
18,A,S,serpentine,serpentine,no,no,4,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
20,A,S,serpentine,serpentine,no,no,8,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
20,A,S,serpentine,serpentine,no,no,8,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
22,A,S,serpentine,serpentine,no,no,6,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
22,A,S,serpentine,serpentine,no,no,6,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
23,A,S,serpentine,serpentine,no,no,3,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
24,A,S,serpentine,serpentine,no,no,5,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
24,A,S,serpentine,serpentine,no,no,5,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
25,A,S,serpentine,serpentine,no,no,3,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
26,A,S,serpentine,serpentine,no,no,8,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
26,A,S,serpentine,serpentine,no,no,8,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
26,A,S,serpentine,serpentine,no,no,8,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
27,A,S,serpentine,serpentine,no,no,1,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
28,A,S,serpentine,serpentine,no,no,2,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
28,A,S,serpentine,serpentine,no,no,2,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
28,A,S,serpentine,serpentine,no,no,2,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
28,A,S,serpentine,serpentine,no,no,2,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
29,A,S,serpentine,serpentine,no,no,5,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
29,A,S,serpentine,serpentine,no,no,5,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
29,A,S,serpentine,serpentine,no,no,5,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
29,A,S,serpentine,serpentine,no,no,5,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
29,A,S,serpentine,serpentine,no,no,5,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
29,A,S,serpentine,serpentine,no,no,5,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
29,A,S,serpentine,serpentine,no,no,5,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
29,A,S,serpentine,serpentine,no,no,5,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
29,A,S,serpentine,serpentine,no,no,5,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
30,A,S,serpentine,serpentine,no,no,7,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
30,A,S,serpentine,serpentine,no,no,7,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
31,A,S,serpentine,serpentine,no,no,9,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
31,A,S,serpentine,serpentine,no,no,9,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
32,A,S,serpentine,serpentine,no,no,9,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
32,A,S,serpentine,serpentine,no,no,9,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
32,A,S,serpentine,serpentine,no,no,9,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
32,A,S,serpentine,serpentine,no,no,9,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
32,A,S,serpentine,serpentine,no,no,9,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
32,A,S,serpentine,serpentine,no,no,9,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
32,A,S,serpentine,serpentine,no,no,9,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
32,A,S,serpentine,serpentine,no,no,9,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
32,A,S,serpentine,serpentine,no,no,9,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
33,A,S,serpentine,serpentine,no,no,8,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
33,A,S,serpentine,serpentine,no,no,8,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
33,A,S,serpentine,serpentine,no,no,8,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
33,A,S,serpentine,serpentine,no,no,8,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
33,A,S,serpentine,serpentine,no,no,8,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
33,A,S,serpentine,serpentine,no,no,8,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
33,A,S,serpentine,serpentine,no,no,8,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
33,A,S,serpentine,serpentine,no,no,8,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
33,A,S,serpentine,serpentine,no,no,8,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
34,A,S,serpentine,serpentine,no,no,7,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
34,A,S,serpentine,serpentine,no,no,7,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
34,A,S,serpentine,serpentine,no,no,7,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
34,A,S,serpentine,serpentine,no,no,7,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
35,A,S,serpentine,serpentine,no,no,5,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
36,A,S,serpentine,serpentine,no,no,9,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
36,A,S,serpentine,serpentine,no,no,9,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
36,A,S,serpentine,serpentine,no,no,9,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
