sample_num,dna_sample,dna_id,soil_stress,soil_let,soil_type,microbe_type,nickel,drought,tray,growth (8.8.2018),growth (8.15.2018),pds,date.collected,date.dna,pds.8.22.2018,height.8.22.2018,leaf.num.8.22.2018,date.8.22.2018,amt.gem,pds.8.29.2018,height.8.29.2018,leaf.num.8.29.2018,date.8.29.2018,pds.10.22.2018,height.10.22.2018,leaf.num.10.22.2018,date.10.22.2018,pds.9.3.2018,height.9.3.2018,leaf.num.9.3.2018,date.9.3.2018,pds.9.10.2018,height.9.10.2018,leaf.num.9.10.2018,date.9.10.2018,pds.9.24.2018,height.9.24.2018,leaf.num.9.24.2018,date.9.24.2018,pds.9.17.2018,height.9.17.2018,leaf.num.9.17.2018,date.9.17.2018,pds.10.1.2018,height.10.1.2018,leaf.num.10.1.2018,date.10.1.2018,pds.10.8.2018,height.10.8.2018,leaf.num.10.8.2018,date.10.8.2018,pds.10.15.2018,height.10.15.2018,leaf.num.10.15.2018,date.10.15.2018,pds.11.12.2018,height.11.12.2018,leaf.num.11.12.2018,date.11.12.2018,pds.11.19.2018,height.11.19.2018,leaf.num.11.19.2018,date.11.19.2018,pds.11.26.2018,height.11.26.2018,leaf.num.11.26.2018,date.11.26.2018,sample_num_let
11,.,.,S,A,serpentine,serpentine,no,no,6,yes,yes,.,.,.,1,2,2,8/22/18,3,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,1,5.5,.,11/26/18,
12,166A12,166,S,A,serpentine,serpentine,no,no,2,yes,yes,6,12/15/18,8/3/19,1,2.5,4,8/22/18,1,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
13,125A13,125,S,A,serpentine,serpentine,no,no,5,yes,yes,1,12/1/18,4/23/19,1,2.5,4,8/22/18,5,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,1,4,.,11/26/18,13A
14,.,.,S,A,serpentine,serpentine,no,no,6,yes,yes,1,,.,1,2.5,4,8/22/18,2,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,1,3.166666667,.,11/26/18,14A
15,.,.,S,A,serpentine,serpentine,no,no,2,yes,yes,2,9/11/18,.,1,2,4,8/22/18,3,1,2.5,4,8/29/18,.,.,.,10/22/18,1,2,4,9/3/18,2,2,6,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,15,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,15A
16,.,.,S,A,serpentine,serpentine,no,no,5,yes,yes,.,.,.,1,2,4,8/22/18,3,1,2,4,8/29/18,2,1,10,10/22/18,1,2,4,9/3/18,2,2,7,9/10/18,2,2,7,9/24/18,2,2,6,9/17/18,2,1,9,10/1/18,2,1.5,9,10/8/18,.,.,.,10/15/18,2,2,5,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
17,.,.,S,A,serpentine,serpentine,no,no,3,yes,yes,.,.,.,1,3,4,8/22/18,1,1,3.5,4,8/29/18,.,.,.,10/22/18,1,3.5,5,9/3/18,2,4,7,9/10/18,2,3,10,9/24/18,2,3.5,7,9/17/18,2,2.5,11,10/1/18,2,2,13,10/8/18,2,2,14,10/15/18,3,4.5,16,11/12/18,3,4,10,11/19/18,.,.,.,11/26/18,
18,138A18,138,S,A,serpentine,serpentine,no,no,4,yes,yes,3,10/21/18,5/6/19,1,2.5,4,8/22/18,1,2,3,4,8/29/18,.,.,.,10/22/18,1,2.5,5,9/3/18,2,3,6,9/10/18,2,2.5,8,9/24/18,2,3,7,9/17/18,2,2,10,10/1/18,2,2,12,10/8/18,3,2.5,12,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,18A
19,.,.,S,A,serpentine,serpentine,no,no,2,yes,yes,.,.,.,1,2,4,8/22/18,3,1,2.5,4,8/29/18,2,2,11,10/22/18,1,2,5,9/3/18,2,2,8,9/10/18,2,2,10,9/24/18,2,2,9,9/17/18,2,1.5,11,10/1/18,2,2,11,10/8/18,2,1.5,12,10/15/18,3,3,9,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
20,.,.,S,A,serpentine,serpentine,no,no,8,yes,yes,5,12/15/18,.,1,2,4,8/22/18,2,1,2,6,8/29/18,2,4.5,15,10/22/18,1,2.5,3,9/3/18,2,3,6,9/10/18,2,3.5,8,9/24/18,2,2.5,8,9/17/18,2,3.5,10,10/1/18,3,3.5,13,10/8/18,2,4.5,13,10/15/18,2,5.5,16,11/12/18,2,6,19,11/19/18,.,.,.,11/26/18,20A
21,.,.,S,A,serpentine,serpentine,no,no,2,yes,yes,.,.,.,1,3,4,8/22/18,1,1,2.5,5,8/29/18,2,3,14,10/22/18,2,3,6,9/3/18,2,3,6,9/10/18,2,3,12,9/24/18,2,3,10,9/17/18,2,5,11,10/1/18,2,3,13,10/8/18,2,3,14,10/15/18,2,3,16,11/12/18,3,3,16,11/19/18,.,.,.,11/26/18,
22,114A22,114,S,A,serpentine,serpentine,no,no,6,yes,yes,4,11/17/18,4/15/19,1,2.5,4,8/22/18,2,1,2.5,5,8/29/18,4,2,6,10/22/18,1,2,6,9/3/18,2,2.5,7,9/10/18,2,3,8,9/24/18,2,2,7,9/17/18,3,3,8,10/1/18,3,2,7,10/8/18,4,2,5,10/15/18,4,2,6,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,22A
23,35A23,35,S,A,serpentine,serpentine,no,no,3,yes,yes,4,11/17/18,2/25/19,1,4,4,8/22/18,2,2,4.5,4,8/29/18,2,4,18,10/22/18,1,4,5,9/3/18,2,4,8,9/10/18,2,4,11,9/24/18,2,4,10,9/17/18,2,4.5,13,10/1/18,2,4,15,10/8/18,2,3.5,12,10/15/18,4,5,14,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,23A
24,.,.,S,A,serpentine,serpentine,no,no,5,yes,yes,.,.,.,1,1.5,5,8/22/18,2,1,2,5,8/29/18,2,1.5,14,10/22/18,1,2,6,9/3/18,2,2,7,9/10/18,2,2,10,9/24/18,2,1.5,8,9/17/18,2,1.5,10,10/1/18,2,1.5,12,10/8/18,2,1.5,14,10/15/18,2,1,15,11/12/18,2,2,12,11/19/18,.,.,.,11/26/18,
25,.,.,S,A,serpentine,serpentine,no,no,3,yes,yes,.,.,.,1,3.5,4,8/22/18,1,2,3.5,6,8/29/18,4,11,8,10/22/18,2,4,7,9/3/18,2,4,7,9/10/18,2,4.5,9,9/24/18,2,4.5,10,9/17/18,2,6.5,10,10/1/18,3,7,12,10/8/18,3,8,12,10/15/18,4,11.5,3,11/12/18,2,6,24,11/19/18,.,.,.,11/26/18,
26,67A26,67,S,A,serpentine,serpentine,no,no,8,yes,yes,5,12/15/18,3/20/19,1,2,4,8/22/18,4,1,2,4,8/29/18,.,.,.,10/22/18,1,2.5,3,9/3/18,2,3,6,9/10/18,2,2,7,9/24/18,2,3,8,9/17/18,2,2,9,10/1/18,2,2,10,10/8/18,2,2,11,10/15/18,2,5,11,11/12/18,3,4.5,11,11/19/18,.,.,.,11/26/18,
27,.,.,S,A,serpentine,serpentine,no,no,1,yes,yes,.,.,.,1,3,4,8/22/18,1,1,3,6,8/29/18,2,3,11,10/22/18,2,3,5,9/3/18,2,3,7,9/10/18,2,3.5,9,9/24/18,2,3.5,9,9/17/18,2,3.5,18,10/1/18,2,3.5,11,10/8/18,2,2.5,11,10/15/18,2,4,4,11/12/18,2,2,4,11/19/18,.,.,.,11/26/18,
28,.,.,S,A,serpentine,serpentine,no,no,2,yes,yes,3,10/21/18,.,1,3,4,8/22/18,2,1,3,5,8/29/18,.,.,.,10/22/18,2,3.5,7,9/3/18,2,3.5,9,9/10/18,2,3,12,9/24/18,2,3.5,10,9/17/18,2,5,11,10/1/18,2,2,13,10/8/18,2,2,13,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,28A
29,.,.,S,A,serpentine,serpentine,no,no,5,yes,yes,2,9/11/18,.,1,3.5,4,8/22/18,4,2,3.5,2,8/29/18,.,.,.,10/22/18,1,3,4,9/3/18,2,3,8,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,29A
30,.,.,S,A,serpentine,serpentine,no,no,7,yes,yes,.,.,.,1,3,4,8/22/18,4,1,3,4,8/29/18,2,2,13,10/22/18,1,3.5,4,9/3/18,2,3,5,9/10/18,2,2,6,9/24/18,2,3,7,9/17/18,2,1.5,10,10/1/18,2,2.5,9,10/8/18,2,2.5,13,10/15/18,2,3,10,11/12/18,3,3.5,10,11/19/18,.,.,.,11/26/18,
31,.,.,S,A,serpentine,serpentine,no,no,9,yes,yes,1,12/1/18,.,1,2.5,4,8/22/18,2,1,3,5,8/29/18,3,2.5,6,10/22/18,2,3,6,9/3/18,2,3,7,9/10/18,2,2.5,9,9/24/18,2,3,8,9/17/18,2,2,10,10/1/18,2,3,8,10/8/18,2,2,8,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,1,4.166666667,.,11/26/18,31A
32,51A32,51,S,A,serpentine,serpentine,no,no,9,yes,yes,2,9/11/18,3/11/19,1,2,4,8/22/18,1,1,2,4,8/29/18,.,.,.,10/22/18,1,2,4,9/3/18,2,2.5,7,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,32A
33,.,.,S,A,serpentine,serpentine,no,no,8,yes,yes,2,9/11/18,.,1,2,4,8/22/18,6,2,2,4,8/29/18,.,.,.,10/22/18,1,2.5,5,9/3/18,2,2,5,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,33A
34,129A34,129,S,A,serpentine,serpentine,no,no,7,yes,yes,3,10/21/18,5/1/19,1,2,4,8/22/18,4,1,2.5,6,8/29/18,.,.,.,10/22/18,1,3,6,9/3/18,2,2,8,9/10/18,2,2.5,10,9/24/18,2,2.5,10,9/17/18,2,2.5,11,10/1/18,2,2,11,10/8/18,2,2,12,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,34A
35,.,.,S,A,serpentine,serpentine,no,no,5,yes,yes,5,12/15/18,.,1,4,4,8/22/18,3,1,5,5,8/29/18,2,3,8,10/22/18,2,4.5,5,9/3/18,2,5,7,9/10/18,2,4.5,9,9/24/18,2,5,8,9/17/18,2,4,8,10/1/18,2,3.5,5,10/8/18,2,3.5,8,10/15/18,2,6,12,11/12/18,3,4.5,8,11/19/18,.,.,.,11/26/18,35A
36,90A36,90,S,A,serpentine,serpentine,no,no,9,yes,yes,2,9/11/18,4/3/19,1,2,4,8/22/18,4,2,2,4,8/29/18,.,.,.,10/22/18,1,2,4,9/3/18,2,2.5,8,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,36A
37,.,.,S,A,serpentine,serpentine,no,no,2,yes,yes,.,.,.,1,2.5,4,8/22/18,1,2,3,3,8/29/18,2,2,7,10/22/18,1,3,4,9/3/18,2,2.5,5,9/10/18,2,3,8,9/24/18,3,3,5,9/17/18,2,3,8,10/1/18,2,2.5,10,10/8/18,2,2,9,10/15/18,2,1.5,2,11/12/18,4,1,3,11/19/18,.,.,.,11/26/18,
38,96A38,96,S,A,serpentine,serpentine,no,no,1,yes,yes,4,11/17/18,4/8/19,1,3,4,8/22/18,2,1,3.5,4,8/29/18,2,3,13,10/22/18,1,4,4,9/3/18,2,3.5,6,9/10/18,2,4,7,9/24/18,2,4,6,9/17/18,2,3.5,11,10/1/18,2,3,14,10/8/18,2,4,14,10/15/18,4,7,12,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,38A
39,72A39,72,S,A,serpentine,serpentine,no,no,5,yes,yes,3,10/21/18,3/20/19,1,2.5,4,8/22/18,2,1,2,5,8/29/18,.,.,.,10/22/18,1,3,4,9/3/18,2,3.5,6,9/10/18,1,2,5,9/24/18,2,3,6,9/17/18,2,2.5,6,10/1/18,2,2,5,10/8/18,3,2,4,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,39A
40,.,.,S,A,serpentine,serpentine,no,no,4,yes,yes,.,.,.,1,3,4,8/22/18,3,2,3,6,8/29/18,.,.,.,10/22/18,2,3.5,7,9/3/18,2,3,9,9/10/18,2,3.5,13,9/24/18,2,3.5,11,9/17/18,2,3,15,10/1/18,2,3,16,10/8/18,2,3.5,18,10/15/18,2,5.5,21,11/12/18,4,11.5,2,11/19/18,.,.,.,11/26/18,
41,95A41,95,S,A,serpentine,serpentine,no,no,6,yes,yes,4,11/17/18,4/8/19,1,2.5,4,8/22/18,4,1,3,4,8/29/18,2,2.5,13,10/22/18,1,3,6,9/3/18,2,2,8,9/10/18,2,2.5,8,9/24/18,2,3,7,9/17/18,2,2,8,10/1/18,2,2.5,10,10/8/18,2,2.5,7,10/15/18,4,3,9,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,41A
42,.,.,S,A,serpentine,serpentine,no,no,4,yes,yes,.,.,.,1,3,4,8/22/18,1,1,3.5,5,8/29/18,.,.,.,10/22/18,2,3.5,7,9/3/18,2,3,8,9/10/18,2,3.5,11,9/24/18,2,4,10,9/17/18,2,4,14,10/1/18,2,3,13,10/8/18,2,4,14,10/15/18,3,7.5,14,11/12/18,4,8,13,11/19/18,.,.,.,11/26/18,
43,.,.,S,A,serpentine,serpentine,no,no,9,yes,yes,5,12/15/18,.,1,2.5,6,8/22/18,2,1,3,4,8/29/18,2,3.5,14,10/22/18,1,2.5,5,9/3/18,2,2.5,7,9/10/18,2,2.5,10,9/24/18,2,2.5,9,9/17/18,2,2.5,11,10/1/18,2,3,14,10/8/18,2,3.5,14,10/15/18,3,6,14,11/12/18,4,6,10,11/19/18,.,.,.,11/26/18,43A
44,.,.,S,A,serpentine,serpentine,no,no,4,yes,yes,1,12/1/18,.,1,3,4,8/22/18,1,1,3,4,8/29/18,.,.,.,10/22/18,1,3,4,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,1,4,.,11/26/18,44A
45,24A45,24,S,A,serpentine,serpentine,no,no,4,yes,yes,3,10/21/18,2/15/19,1,3,4,8/22/18,1,1,2.5,4,8/29/18,.,.,.,10/22/18,2,3,6,9/3/18,2,3,7,9/10/18,2,3,8,9/24/18,2,3,7,9/17/18,2,3,9,10/1/18,3,3.5,10,10/8/18,3,4,10,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,45A
46,.,.,S,A,serpentine,serpentine,no,no,8,yes,yes,5,12/15/18,.,1,3,8,8/22/18,3,1,2,4,8/29/18,2,3,13,10/22/18,1,2.5,6,9/3/18,2,2.5,7,9/10/18,2,2.5,8,9/24/18,2,2.5,8,9/17/18,2,1.5,11,10/1/18,2,2,9,10/8/18,2,4,10,10/15/18,2,5,12,11/12/18,3,6.5,15,11/19/18,.,.,.,11/26/18,46A
47,.,.,S,A,serpentine,serpentine,no,no,2,yes,yes,5,12/15/18,.,1,2,4,8/22/18,4,1,2,3,8/29/18,2,2.5,14,10/22/18,1,2,3,9/3/18,2,2,8,9/10/18,2,2,14,9/24/18,2,2,14,9/17/18,2,2.5,11,10/1/18,2,1.5,14,10/8/18,2,2,16,10/15/18,3,4,19,11/12/18,3,4,20,11/19/18,.,.,.,11/26/18,
48,.,.,S,A,serpentine,serpentine,no,no,5,yes,yes,.,.,.,.,.,.,8/22/18,.,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
49,40A49,40,S,A,serpentine,serpentine,no,no,4,yes,yes,5,12/15/18,3/4/19,1,2,4,8/22/18,1,1,2,4,8/29/18,.,.,.,10/22/18,1,2,4,9/3/18,2,2,5,9/10/18,2,2,8,9/24/18,2,2.5,5,9/17/18,2,2,8,10/1/18,2,2.5,11,10/8/18,2,2,14,10/15/18,2,3.5,15,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,49A
50,.,.,S,A,serpentine,serpentine,no,no,7,yes,yes,.,.,.,1,2.5,4,8/22/18,4,1,3,6,8/29/18,2,2.5,10,10/22/18,2,3,4,9/3/18,2,2.5,5,9/10/18,2,1.5,6,9/24/18,2,2,6,9/17/18,2,2,9,10/1/18,2,2.5,7,10/8/18,2,2,8,10/15/18,2,"2,5",6,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
51,.,.,S,A,serpentine,serpentine,no,no,6,yes,yes,.,.,.,1,2.5,4,8/22/18,1,1,3,4,8/29/18,2,3,8,10/22/18,1,3,4,9/3/18,2,3,7,9/10/18,2,3,6,9/24/18,2,2.5,7,9/17/18,2,2,7,10/1/18,2,2,6,10/8/18,2,2.5,5,10/15/18,2,2,6,11/12/18,5,.,.,11/19/18,.,.,.,11/26/18,
52,.,.,S,A,serpentine,serpentine,no,no,3,yes,yes,5,12/15/18,.,1,3,4,8/22/18,1,1,3,4,8/29/18,.,.,.,10/22/18,1,3,5,9/3/18,2,3.5,6,9/10/18,2,3,10,9/24/18,2,3,7,9/17/18,2,3,11,10/1/18,2,2.5,14,10/8/18,2,2.5,15,10/15/18,3,4.5,12,11/12/18,3,4.5,14,11/19/18,.,.,.,11/26/18,
53,.,.,S,A,serpentine,serpentine,no,no,9,yes,yes,4,11/17/18,.,1,2,4,8/22/18,2,1,1.5,6,8/29/18,2,1.5,14,10/22/18,1,1.5,7,9/3/18,2,2,9,9/10/18,2,2,10,9/24/18,2,2,9,9/17/18,2,2,11,10/1/18,2,2,8,10/8/18,2,2,14,10/15/18,3,1.5,5,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,53A
54,.,.,S,A,serpentine,serpentine,no,no,3,yes,yes,2,9/11/18,.,1,3,4,8/22/18,3,1,2.5,4,8/29/18,.,.,.,10/22/18,1,2.5,4,9/3/18,2,3,5,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,54A
55,.,.,S,A,serpentine,serpentine,no,no,9,yes,yes,5,12/15/18,.,1,2,4,8/22/18,2,1,1.5,4,8/29/18,2,3,10,10/22/18,1,2,5,9/3/18,2,2,7,9/10/18,2,3,6,9/24/18,2,2,7,9/17/18,2,3,8,10/1/18,2,3,9,10/8/18,2,2,11,10/15/18,3,2.5,9,11/12/18,4,4,11,11/19/18,.,.,.,11/26/18,55A
56,.,.,S,A,serpentine,serpentine,no,no,3,yes,yes,.,.,.,1,2.5,4,8/22/18,2,1,3,5,8/29/18,.,.,.,10/22/18,2,3,6,9/3/18,2,2.5,8,9/10/18,2,3.5,12,9/24/18,2,2.5,9,9/17/18,2,3.5,11,10/1/18,2,2.5,14,10/8/18,2,2.5,15,10/15/18,3,6.5,11,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,
57,99A57,99,S,A,serpentine,serpentine,no,no,4,yes,yes,2,9/11/18,4/9/19,1,3,4,8/22/18,2,1,3,4,8/29/18,.,.,.,10/22/18,1,2.5,5,9/3/18,2,3.5,6,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,57A
58,.,.,S,A,serpentine,serpentine,no,no,9,yes,yes,1,12/1/18,.,1,2.5,3,8/22/18,4,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,1,3.666666667,.,11/26/18,58A
59,.,.,S,A,serpentine,serpentine,no,no,7,yes,yes,.,.,.,1,2,4,8/22/18,1,1,2,4,8/29/18,2,1.5,9,10/22/18,.,.,.,9/3/18,2,2,7,9/10/18,2,1,8,9/24/18,2,1,7,9/17/18,2,2,8,10/1/18,2,1,9,10/8/18,2,1,7,10/15/18,2,1,12,11/12/18,3,1,9,11/19/18,.,.,.,11/26/18,
60,150A60,150,S,A,serpentine,serpentine,no,no,8,no,yes,1,12/1/18,7/27/19,1,2,4,8/22/18,2,1,2.5,5,8/29/18,.,.,.,10/22/18,1,2.5,6,9/3/18,1,3,4,9/10/18,.,.,.,9/24/18,2,2,2,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,.,.,.,11/19/18,1,3.166666667,.,11/26/18,60A
61,23A61,23,S,A,serpentine,serpentine,no,no,7,yes,yes,3,10/21/18,2/15/19,1,2,4,8/22/18,2,1,3,5,8/29/18,.,.,.,10/22/18,1,4,6,9/3/18,2,3.5,8,9/10/18,2,3,11,9/24/18,2,2,6,9/17/18,2,2,9,10/1/18,2,1.5,9,10/8/18,3,2,8,10/15/18,,,,11/12/18,.,.,.,11/19/18,.,.,.,11/26/18,61A
